res_id,type,cuisines 1,cuisines 2,cuisines 3,cuisines 4,cuisines 5,cuisines 6,cuisines 7,cuisines 8,city,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,photo_count,delivery,state
18306453,Pub,Continental,Chinese,North Indian,Italian,Mexican,,,,Mumbai,19.00309114,72.82860652,1300,3,3.9,941,976,1,Maharashtra
18198742,Pub,Continental,Chinese,North Indian,Italian,Mexican,,,,Mumbai,19.0653869,72.83403497,1300,3,3.7,1250,1030,1,Maharashtra
16538641,Pub,Continental,Chinese,North Indian,Italian,Mexican,,,,Mumbai,19.07062746,72.87612855,1300,3,3.8,1743,1260,0,Maharashtra
18419743,Pub,Finger Food,South Indian,North Indian,,,,,,Mumbai,19.0719897,72.83935513,1250,3,3.9,1128,1219,0,Maharashtra
16526678,Pub,Continental,Chinese,North Indian,Italian,Mexican,,,,Mumbai,19.1369792,72.83271097,1300,3,4,1983,1352,0,Maharashtra
18424830,Pub,British,Italian,Burger,Continental,European,Pizza,Salad,,Mumbai,19.10767551,72.88337018,2000,4,4,670,958,0,Maharashtra
18973073,Bar,Italian,Mexican,American,Continental,,,,,Mumbai,19.139489,72.831465,1900,3,3.6,56,170,0,Maharashtra
18753101,Dhaba,North Indian,,,,,,,,Mumbai,19.03479929,72.86377866,200,1,3.7,61,30,0,Maharashtra
18768312,Dhaba,Chinese,North Indian,,,,,,,Mumbai,19.37319775,72.82292861,500,2,3.4,52,16,1,Maharashtra
19078203,Dhaba,North Indian,Gujarati,Rajasthani,Chinese,Street Food,,,,Mumbai,19.405735,72.824749,450,1,3.3,11,4,0,Maharashtra
44960,Kiosk,Rolls,,,,,,,,Mumbai,18.9964837,72.82673165,300,1,4.2,1313,269,0,Maharashtra
47760,Kiosk,Fast Food,,,,,,,,Mumbai,19.02879786,72.84404565,300,1,3.7,103,35,0,Maharashtra
18666467,Kiosk,Pizza,,,,,,,,Mumbai,19.20298893,72.85965811,600,2,3.5,71,82,0,Maharashtra
18401108,Kiosk,Pizza,Fast Food,,,,,,,Mumbai,19.0772722,72.88538117,500,2,3.2,69,89,0,Maharashtra
18553579,Kiosk,Sandwich,Fast Food,,,,,,,Mumbai,19.02892654,72.83838551,300,1,3.7,35,20,0,Maharashtra
18790627,Kiosk,Desserts,Beverages,,,,,,,Mumbai,19.14137592,72.83123676,300,1,3.3,32,42,0,Maharashtra
18662884,Kiosk,Street Food,,,,,,,,Mumbai,18.97662016,72.83307474,100,1,3.5,18,2,0,Maharashtra
18415753,Kiosk,Fast Food,Momos,,,,,,,Mumbai,19.20298228,72.85980564,250,1,3.1,22,7,0,Maharashtra
18445042,Kiosk,Fast Food,,,,,,,,Mumbai,18.96343208,72.80748278,200,1,3.4,19,23,0,Maharashtra
19037872,Kiosk,Fast Food,Mughlai,Biryani,Bengali,North Indian,Wraps,Beverages,,Mumbai,19.20299906,72.85978585,400,1,3.5,17,19,0,Maharashtra
48832,Kiosk,Fast Food,Beverages,,,,,,,Mumbai,19.01423694,72.84265425,250,1,3.3,21,6,0,Maharashtra
42858,Kiosk,Fast Food,,,,,,,,Mumbai,19.09941686,72.91627117,200,1,3.4,17,4,0,Maharashtra
18987186,Kiosk,Beverages,,,,,,,,Mumbai,19.10973568,72.86555663,100,1,3.4,18,0,0,Maharashtra
18677069,Kiosk,Street Food,,,,,,,,Mumbai,19.17164204,72.95805763,100,1,3.3,10,3,0,Maharashtra
18819444,Kiosk,Tea,Street Food,,,,,,,Mumbai,19.215128,72.826969,150,1,3.2,10,2,0,Maharashtra
18568087,Food Truck,Momos,,,,,,,,Mumbai,19.0231978,72.84937318,200,1,4.3,279,170,0,Maharashtra
18698368,Food Truck,Fast Food,Desserts,,,,,,,Mumbai,19.07580544,72.90530395,250,1,4.1,267,211,0,Maharashtra
18453643,Food Truck,Fast Food,Chinese,,,,,,,Mumbai,19.46412589,72.80489373,250,1,4,283,105,1,Maharashtra
18253039,Food Truck,Fast Food,,,,,,,,Mumbai,19.06080595,72.86406599,500,2,3.7,117,176,0,Maharashtra
18140739,Food Truck,Italian,,,,,,,,Mumbai,19.21266015,72.84228779,300,1,3.9,136,71,0,Maharashtra
18619173,Food Truck,Fast Food,Italian,,,,,,,Mumbai,19.08013756,72.90536262,300,1,3.7,96,86,1,Maharashtra
18326054,Food Truck,Fast Food,Mexican,,,,,,,Mumbai,19.21298118,72.84292582,300,1,3.8,57,42,0,Maharashtra
18673695,Food Truck,Fast Food,Pizza,Kebab,,,,,,Mumbai,19.10251279,72.92028911,400,1,3.6,51,29,0,Maharashtra
18415731,Food Truck,Fast Food,,,,,,,,Mumbai,19.3671903,72.81600717,300,1,3.8,46,8,0,Maharashtra
18241254,Food Truck,Fast Food,,,,,,,,Mumbai,19.45403711,72.80356944,150,1,3.6,49,8,0,Maharashtra
18874763,Food Truck,Mexican,Italian,,,,,,,Mumbai,19.21129622,72.87311308,400,1,3.6,27,41,0,Maharashtra
18453963,Food Truck,Italian,,,,,,,,Mumbai,19.18424231,72.83245515,400,1,3.5,36,8,0,Maharashtra
18924442,Food Truck,Desserts,Burger,Pizza,Lebanese,Fast Food,,,,Mumbai,19.279414,72.870965,400,1,3.5,28,23,0,Maharashtra
18707030,Food Truck,Beverages,Fast Food,,,,,,,Mumbai,19.26970314,72.8720167,200,1,3,29,22,0,Maharashtra
18815179,Food Truck,Fast Food,North Indian,,,,,,,Mumbai,19.09831654,72.82771435,500,2,3.5,27,10,0,Maharashtra
18684821,Food Truck,Fast Food,Sandwich,Burger,,,,,,Mumbai,19.29638712,72.87002217,300,1,3.6,28,12,0,Maharashtra
